Instancias;f;c;t;var;mejor
random 1;1.2420749279538905;15;0.13200783729553223;0.62131862;0
random 2;1.0816135084427767;20;0.3720211982727051;0.769378783;0
random 3;0.9474747474747475;21;0.44002509117126465;0.774946616;0
random-4;1.522633744855967;27;2.4531400203704834;0.684754918;0
random-5;1.4591754244139046;32;3.445197105407715;0.599127631;0
random-6;0.9672131147540983;18;0.2740156650543213;0.158945118;0
random-7;1.047279214986619;19;0.33101892471313477;0.127267321;0
random-8;0.9503738953093134;23;0.703040361404419;0.201366475;0
random-9;0.9670148433205058;28;1.432081937789917;0.267412997;0
random-10;0.9905100830367735;31;3.6612093448638916;0.276999939;0
market-1;2.142906158860868;8;0.28101611137390137;0.898967178;0
market-2;1.3260350731555461;8;0.3240184783935547;0.944025535;0
market-3;2.016759776536313;8;0.3500196933746338;0.855117832;0
market-4;2.367825383993533;8;0.3520200252532959;0.873648592;0
market-5;2.8115777525539154;8;0.31401777267456055;0.801862033;0
wind-2004;91286.0;4;0.026001691818237305;0;1
wind-2005;90391.75;4;0.017000913619995117;0.045358482;0
wind-2006;90034.2;5;0.024001121520996094;0.085682659;0
Set E;;;;;
brock200-1;0.5135135135135135;19;1.7310991287231445;0.031106578;0
brock200-2;0.5263157894736842;10;0.46002626419067383;0.043062201;0
brock200-3;0.5185185185185185;14;0.735041618347168;0.039780521;0
brock200-4;0.5172413793103449;15;1.0300588607788086;0.024072869;0
c-fat200-1;0.52;13;0.5160293579101562;0;1
c-fat200-2;0.5102040816326531;25;0.8730497360229492;0;1
c-fat200-5;0.5042735042735043;59;8.409481048583984;0;1
C-fat500-1;0.5172413793103449;15;5.527315855026245;0.00530504;0
c-fat500-2;0.5094339622641509;27;4.514258146286011;0.001109878;0
c-fat500-5;0.5038759689922481;65;19.157095670700073;0;1
c-fat500-10;0.5019762845849802;127;146.89040160179138;0;1
hamming6-2;0.5076923076923077;33;1.18806791305542;0.023668639;0
hamming6-4;0.5555555555555556;5;0.02800154685974121;0.074074074;0
hamming8-4;0.5151515151515151;17;0.9800558090209961;0.08008658;0
johnson8-2-4;0.5555555555555556;5;0.008000612258911133;0.007936508;0
johnson8-4-4;0.5172413793103449;15;0.13800811767578125;0.024072869;0
johnson16-2-4;0.5294117647058824;9;0.28101587295532227;0.001109878;0
johnson32-2-4;0.5151515151515151;17;15.607892990112305;0.009324009;0
keller4;0.5217391304347826;12;0.2870163917541504;0.051383399;0
p-hat300-1;0.5333333333333333;8;0.6900391578674316;0.064327485;0
p-hat300-2;0.5111111111111111;23;1.312075138092041;0.053497942;0
p-hat300-3;0.5081967213114754;31;5.527316331863403;0.022698613;0
p-hat500-1;0.5294117647058824;9;2.227522134780884;0.07120743;0
p-hat700-1;0.5263157894736842;10;3.370192766189575;0.076638966;0
p-hat1000-1;0.5263157894736842;10;7.568433046340942;0.076638966;0
san200-0-7-1;0.5111111111111111;23;1.534087896347046;0.035639413;0
san200-0-7-2;0.5161290322580645;16;1.445082426071167;0.044205496;0
san200-0-9-1;0.5039370078740157;64;16.630951404571533;0.01188822;0
san200-0-9-2;0.5057471264367817;44;11.384650945663452;0.008338968;0
san200-0-9-3;0.5074626865671642;34;9.20552659034729;0.004975124;0
san400-0-5-1;0.5263157894736842;10;2.616149425506592;0.060150376;0
san400-0-7-1;0.5111111111111111;23;7.39542293548584;0;1
san400-0-7-2;0.5135135135135135;19;6.31036114692688;0.031106578;0
san400-0-7-3;0.5151515151515151;17;5.141294240951538;0;1
san400-0-9-1;0.5042735042735043;59;49.70584321022034;0;1
san1000;0.5238095238095238;11;23.804361581802368;0.047619048;0
sanr200-0-7;0.5142857142857142;18;1.3770787715911865;0.029649596;0
sanr200-0-9;0.5070422535211268;36;11.15763807296753;0.005799503;0
sanr400-0-5;0.52;13;1.7641010284423828;0.054545455;0
sanr400-0-7;0.5135135135135135;19;4.8442771434783936;0.031106578;0
karate;0.5454545454545454;6;0.010000228881835938;0.090909091;0
dolphins;0.5454545454545454;6;0.029001474380493164;0.090909091;0
polbooks;0.5384615384615384;7;0.17300987243652344;0.102564103;0
adjnoun;0.5454545454545454;6;0.1370079517364502;0.090909091;0
football;0.5263157894736842;10;0.18101024627685547;0.122807018;0
jazz;0.5081967213114754;31;0.5830333232879639;0.153005464;0
celegans-metabolic;0.5263157894736842;10;9.543545722961426;0.122807018;0
email;0.52;13;94.59841084480286;0.133333333;0
Set F;;;;;
brock200-1;1.5020746887966805;18;1.1170637607574463;0.781675191;0
brock200-2;1.683252427184466;11;0.23301339149475098;0.889983501;0
brock200-3;3.3225806451612905;12;0.37902164459228516;0.76079333;0
brock200-4;2.10939226519337;14;0.6250357627868652;0.755574477;0
c-fat200-1;1.1382978723404256;12;0.021001100540161133;0.066968957;0
c-fat200-2;1.0;24;0.2150120735168457;0.130434783;0
c-fat200-5;1.020100502512563;58;6.140351295471191;0;1
c-fat500-1;1.0745341614906831;14;0.037001848220825195;0.14719511;0
c-fat500-2;1.0745341614906831;26;0.41002345085144043;0;1
c-fat500-5;1.0080160320641283;64;9.260529518127441;0.030753815;0
c-fat500-10;1.0080160320641283;126;116.28765106201172;0.001964325;0
hamming6-2;1.0;32;0.6660382747650146;0.393939394;0
hamming6-4;1.0;4;0.004000186920166016;0.659863946;0
hamming8-4;1.0;16;0.4560260772705078;0.497487437;0
johnson8-2-4;1.0714285714285714;4;0.003000020980834961;0.068322981;0
johnson8-4-4;1.0;14;0.09900569915771484;0.290780142;0
johnson16-2-4;1.0208768267223383;8;0.17200994491577148;0.189780296;0
johnson32-2-4;1.1267718641347955;16;9.242528438568115;0;1
keller4;1.5126162018592297;11;0.15700912475585938;0.635514168;0
p-hat300-1;6.290657439446367;7;0.059003353118896484;0.75579746;0
